State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Keralam,Idukki,Kattappana Market,Mango,Other,Small,2026-07-21,3000,3500,3300.0
Keralam,Idukki,Kattappana Market,Banana - Green,Other,Medium,2026-07-21,4000,4600,4300.0
Keralam,Idukki,Kattappana Market,Bhindi(Ladies Finger),Other,Medium,2026-07-21,4600,5400,5000.0
Keralam,Kollam,Anchal Market,Bitter gourd,Bitter Gourd,Local,2026-07-21,7600,7600,7600.0
Keralam,Kollam,Anchal Market,Beetroot,Beetroot,Local,2026-07-21,3900,3900,3900.0
Keralam,Kollam,Anchal Market,Capsicum,Capsicum,Local,2026-07-21,6200,6200,6200.0
Keralam,Kollam,Anchal Market,Banana,Poovan,Medium,2026-07-21,7700,7700,7700.0
Tamil Nadu,Madurai,Chokkikulam(Uzhavar Sandhai ),Tomato,Deshi,Local,2026-07-21,1700,2100,1900.0
Tamil Nadu,Madurai,Chokkikulam(Uzhavar Sandhai ),Ashgourd,Gouard,Local,2026-07-21,2400,2600,2500.0
Tamil Nadu,Madurai,Chokkikulam(Uzhavar Sandhai ),Amaranthus,Amaranthus,Local,2026-07-21,3000,3600,3300.0
Tamil Nadu,Madurai,Chokkikulam(Uzhavar Sandhai ),Beans,Beans (Whole),Local,2026-07-21,7000,8000,7500.0
Tamil Nadu,Madurai,Chokkikulam(Uzhavar Sandhai ),Cucumbar(Kheera),Cucumbar,Local,2026-07-21,3000,4000,3500.0
Tamil Nadu,Madurai,Chokkikulam(Uzhavar Sandhai ),Mango(Raw-Ripe),Mango - Raw-Ripe,Local,2026-07-21,2000,3000,2500.0
Tamil Nadu,Madurai,Chokkikulam(Uzhavar Sandhai ),Yam(Ratalu),Yam (Ratalu),Local,2026-07-21,8000,9000,8500.0
Tamil Nadu,Madurai,Chokkikulam(Uzhavar Sandhai ),Mashrooms,Mashrooms,Local,2026-07-21,22500,25000,23750.0
