market,modal_price
Valpol,9791.666666666666
Pernem,3435.5
Mapusa,1626.4347826086957
Gadhinglaj,411.5
Narsingi,400.0
Sirsi,343.8158620689655
Yellapur,320.4225641025641
Koppa,320.0
Siddapur,319.86
Karkala,310.7142857142857
Gonikappal,238.4048598130841
Nippani,232.46940594059407
Kollengode,220.0
Sakaleshpura,193.34714285714287
Dumal,193.33333333333334
Thalasserry,180.41016949152544
Irikkur,166.755
Nagamangala,165.0
Taliparamba,143.47665369649806
Thodupuzha,140.4119170984456
Laskein,136.66666666666666
Tiptur,133.4941379310345
Moodigere,131.99944444444444
Kumta,129.2646875
Athani,128.7313953488372
Guntur,124.25961538461539
Sangola,123.58659217877096
Kannur,121.14285714285714
Sanquelim,120.0
Car Nicobar,119.6969696969697
Kuthuparambu,117.9873417721519
Parakkodu,116.99585062240664
Pandavapura,116.07142857142857
Turvekere,115.36885416666667
Shopian,113.21428571428571
Kuttoor,111.2283378746594
Nedumkandam,107.57272727272728
Kattappana,107.12605042016807
Byadagi,106.95346153846155
Kasargod,105.78947368421052
Pipar City,105.0
Harij,102.375
Kangeyam,99.714406779661
Virudhunagar,97.33333333333333
Andimadom,96.59009523809523
Manathavady,96.3645038167939
Rapar,95.71187845303866
Bilara,94.5
Anjar,94.19052631578947
Ponda,92.71428571428571
Sathyamangalam,92.623125
Moovattupuzha,91.65978456014362
Vav,91.47852941176471
Kalpetta,91.27807486631016
Vellakkoil,90.27170212765958
Maddur,90.0
Ezhamkulam,89.93073593073593
Bachau,89.82934426229508
Gobichettipalayam,89.63538461538461
Velur,89.184375
Kunigal,88.49333333333334
Mathania,88.35857142857142
Mandal,87.87662337662337
Payyannur,86.2578125
Dasada Patadi,85.52504672897197
Gubbi,84.95
Hindupur,84.375
Pandalam,81.2611111111111
Unjha,80.64559748427672
Jowai,79.75675675675676
Kianthukadavu,79.72916666666667
Somvarpet,78.99849162011174
Channagiri,78.9519512195122
Kundapura,78.68783333333334
Vandiperiyar,78.41165413533835
Tharad,77.79746355685131
Bhinmal,77.7
Jayamkondam,76.75424242424242
Arasikere,76.17082135523614
Ranniangadi,74.91235059760956
Jalukie,74.6086956521739
Irityy,74.48780487804878
Pulpally,74.36295154185022
Mechua,73.84848484848484
Sami,73.61899224806201
Sojat City,73.18029411764707
Chhabra(Chhipabadod),72.5
Hosanagar,71.8003125
Vansda(Limzar),71.71428571428571
Bangalore,71.6669658886894
Bhabhar,71.56421052631579
Sivagiri,71.22714285714287
Sanchor,71.025
Merta City,70.60285714285715
New Market Aizawl,70.02890173410404
Anaimalai,69.5075
Pethappampatti,69.4375
Nokha,69.33
Coimbatore,68.8125
Tiruchengode,68.81242424242424
Tarikere,68.71017391304348
Erode,68.28263157894737
Hiriyur,67.95462962962964
Aroor,67.87926447574334
Rasipuram,67.76315789473684
Babra,67.68583815028902
Perundurai,67.62367088607596
Radhanpur,66.74435096153846
Vijapur(Ladol),66.71875
Sangli,66.53122448979592
Junnar(Alephata),66.49134831460674
Annigeri,66.22536
Basmat(Kurunda),66.2
Namagiripettai,65.57685714285715
Lamlong Bazaar,65.31436781609196
Kurinchipadi,65.20752
Sohra,65.11111111111111
Halvad,64.9955289672544
Aralamoodu,63.9010989010989
Bajju,63.75
Kuchaman City,63.67
Ambejaogai,63.45
Chowmanu,63.343548387096774
Darjeeling,63.3375
Ramdurga,63.29053571428571
Wokha Town,62.92857142857143
Moolanur,62.796969696969704
Kamuthi,62.625
Kollam,62.55528846153846
Bailahongal,62.5
Neeleswaram,61.86831275720164
Nimapara,61.86619718309859
Bheenmal(Ranlwada),61.517857142857146
Aatpadi,61.4273076923077
Muthur,61.275
Bishramganj,61.188644688644686
Katwa,61.082142857142856
Vadodara,60.9375
Sanad,60.88162561576355
Basmat,60.709999999999994
Becharaji,60.487093235831814
Thoubal,60.25
Jumpuijala,60.20035460992908
Moreh,60.18181818181818
Adimali,60.16959247648902
Devani,59.86636363636364
Vankaner,59.8140198019802
Tumkur,59.69201277955271
Jamnagar,59.47232819074333
Rani,59.279399999999995
Kesinga,59.209090909090904
Imphal,59.1958762886598
Punalur,59.08683473389356
Thara,58.994401076716024
Kodumudi,58.9275
Kadur,58.73583333333333
Fruit Market,58.70873362445415
Vadakkenchery,58.66913123844732
Kanjangadu,58.627882599580715
Parlakhemundi,58.59664556962026
Khliehriat,58.53125
Amreli,58.48727329580988
Ganderbal,58.45151515151515
Sira,58.30571428571429
Kolathur,58.11538461538461
Jetpur(Dist.Rajkot),57.95436507936508
Madhavapuram,57.84195672624647
Chala,57.79311081441923
Kanakapura,57.49382352941176
Dhenkanal,57.38549618320611
Mahboob Manison,57.2734375
Jammikunta,57.269444444444446
Sevur,57.1921568627451
Attingal,57.10940170940171
Salem,56.839375
Bolangir,56.758620689655174
Bhesan,56.75526315789473
Hingna,56.75
Digapahandi,56.67680147058824
Kalawad,56.61796875
Pallahara,56.57115384615384
Goregaon,56.55333333333333
Porbandar,56.530020491803285
Bishalgarh,56.3771186440678
Botad(Haddad),56.356542056074765
Dhanera,56.342777242044356
Dhrol,56.2998514115899
Konganapuram,56.260000000000005
Pohari,56.25714285714286
Sultan bathery,56.25
Bhuj,56.05379746835443
Manavdar,56.0
Botad,55.73827586206897
Koduvayoor,55.70897615708275
Shillong,55.53790393013101
Teliamura,55.531592039801
Uthangarai,55.5
Upleta,55.47818181818182
Kayamkulam,55.334321372854916
Cuddapah,55.267500000000005
Ner Parasopant,55.260000000000005
Sasthamkotta,55.23664122137404
Kaliyanchanda,55.132841328413285
Pollachi,55.0921052631579
Dadengiri,55.05511811023622
Shrimushnam,55.02816513761468
Vadodara(Navapura),55.0
Kulai,54.943627450980394
Gondal,54.78993203883495
Jetpur-Pavi,54.75
North Lakhimpur,54.739999999999995
Duggirala,54.735625000000006
Kadi,54.685022421524664
Indravelly(Utnoor),54.683076923076925
Jainath,54.39666666666667
Indri,54.333333333333336
Munnar,54.31428571428572
Vedachandur,54.279545454545456
Rajkot,54.14301186178442
Ranebennur,54.069888268156426
Pampady,53.959154929577466
Jhargram,53.86338028169014
Bishenpur,53.666666666666664
Junagadh,53.65573770491803
Vessue,53.63636363636363
Tura,53.54016064257028
Pothencode,53.51485148514851
Kattakada,53.42629482071713
Kasinagar,53.298780487804876
Shimoga,53.26810810810811
Rongram,53.22727272727273
Bachaibari,53.19132867132867
Savarkundla,53.166355382619976
Limdi,53.05866666666667
Dhandhuka,52.96402439024391
Enkoor,52.875
Nasvadi,52.7
Jaleswar,52.558952702702705
Machalpur,52.5
Bikaner (Grain),52.497058823529414
Unava,52.40792682926829
Ralegaon,52.3
Siwani,52.28333333333333
Dindigul,52.25388888888889
Nasvadi(Thalkala),52.25
Bhattu Kalan,52.205000000000005
Kanjirappally,52.11940298507463
Giridih,52.047391304347826
Khammam,52.044832713754644
Warangal,52.04416829745597
Attur,52.03658536585366
Bodeli(Modasar),52.02277777777778
Avalurpet,51.97092814371258
Mandhal,51.94464285714286
Balugaon,51.907736389684814
Parali Vaijyanath,51.877613636363634
Boath,51.86857142857143
Manjeswaram,51.79553571428571
Khambha,51.72919191919191
Bodeli,51.717543859649126
Lohardaga,51.71666666666667
Sengoan,51.68674698795181
Chathanoor,51.67052023121387
Palakkad,51.61731391585761
Omalloor,51.61666666666667
Sonamura,51.44811529933481
Jind,51.25
Angamaly,51.18619934282585
Kuber,51.166666666666664
Bodeli(Kalediya),51.093589743589746
Dasda,51.02946428571428
Thrissur,51.019781718963166
Hingoli,50.96927536231884
Boha,50.925200000000004
Athirampuzha,50.85
Parkal,50.766666666666666
Bhadrawati,50.72666666666667
Peddapalli,50.672000000000004
Surajgarh,50.6210101010101
Thrippunithura,50.578133943903836
Malegaon(Vashim),50.56612903225806
Vellore,50.5614858096828
Bodeli(Hadod),50.40974025974026
Adilabad,50.31613636363636
Adoni,50.092330097087384
Halahali,50.02307692307692
Karanjia,49.96153846153846
Tosham,49.935483870967744
Kondotty,49.91943127962085
Thalavadi,49.90066666666667
Champaknagar,49.897440273037546
Baramati,49.75169014084507
Panthawada,49.71486486486487
Thalayolaparambu,49.56748071979435
Jasdan,49.40076923076923
Kangra,49.372410546139356
Dhing,49.36676300578034
Thiruppananthal,49.35703703703704
Kuruppanthura,49.352159468438536
Karjan,49.322758620689655
Palus,49.20176767676768
Korpana,49.166666666666664
Kothamangalam,49.04931714719272
Pakala,49.0
Bhind,48.90820512820513
Mahagaon,48.8
Gooti,48.785714285714285
Rajasingamangalam,48.75
