state,modal_price
Goa,2090.511320754717
Andaman and Nicobar,119.6969696969697
Mizoram,70.02890173410404
Manipur,60.02679083094556
Meghalaya,55.642880346507845
Kerala,53.76088993640409
Tripura,42.44165998396151
Gujarat,42.12944007648058
Jharkhand,41.859300000000005
Karnataka,40.670035258498444
Tamil Nadu,40.45245379786011
Nagaland,38.82528263103803
Himachal Pradesh,37.0140482726657
Odisha,35.985967643467646
Andhra Pradesh,34.86606910708176
Assam,34.71927021696253
Jammu and Kashmir,33.83425587996756
Rajasthan,32.76354094177685
West Bengal,31.772981808107858
Pondicherry,30.04455149501661
Telangana,28.974791797710402
Uttar Pradesh,28.64001310797436
Maharashtra,28.245989391351255
Madhya Pradesh,27.092446582018727
NCT of Delhi,26.29516295025729
Haryana,26.28371702544031
Punjab,25.851048099043467
Chattisgarh,22.887634573304158
Uttrakhand,15.594775321485335
